Date time,Home (kW),Solar (kW),Grid (kW)
2023-07-17T00:00:00-05:00,0.3,0.0,3.0
2023-07-17T00:05:00-05:00,3.0,0.0,2.9
2023-07-17T00:10:00-05:00,2.9,0.0,1.4
2023-07-17T00:15:00-05:00,1.4,0.0,0.2
2023-07-17T00:20:00-05:00,0.2,0.0,0.2
2023-07-17T00:25:00-05:00,0.2,0.0,2.3
2023-07-17T00:30:00-05:00,2.3,0.0,2.9
2023-07-17T00:35:00-05:00,2.9,0.0,0.9
2023-07-17T00:40:00-05:00,0.9,0.0,0.3
2023-07-17T00:45:00-05:00,0.3,0.0,1.4
2023-07-17T00:50:00-05:00,1.4,0.0,2.9
2023-07-17T00:55:00-05:00,2.9,0.0,0.9
2023-07-17T01:00:00-05:00,0.9,0.0,0.2
2023-07-17T01:05:00-05:00,0.2,0.0,0.7
2023-07-17T01:10:00-05:00,0.7,0.0,2.8
2023-07-17T01:15:00-05:00,2.8,0.0,1.4
2023-07-17T01:20:00-05:00,1.4,0.0,2.1
2023-07-17T01:25:00-05:00,2.1,0.0,3.2
2023-07-17T01:30:00-05:00,3.2,0.0,2.4
2023-07-17T01:35:00-05:00,2.4,0.0,2.4
2023-07-17T01:40:00-05:00,2.4,0.0,0.2
2023-07-17T01:45:00-05:00,0.2,0.0,0.2
2023-07-17T01:50:00-05:00,0.2,0.0,0.2
2023-07-17T01:55:00-05:00,0.2,0.0,2.8
2023-07-17T02:00:00-05:00,2.8,0.0,1.4
2023-07-17T02:05:00-05:00,1.4,0.0,0.3
2023-07-17T02:10:00-05:00,0.3,0.0,0.2
2023-07-17T02:15:00-05:00,0.2,0.0,0.3
2023-07-17T02:20:00-05:00,0.3,0.0,2.9
2023-07-17T02:25:00-05:00,2.9,0.0,1.4
2023-07-17T02:30:00-05:00,1.4,0.0,0.2
2023-07-17T02:35:00-05:00,0.2,0.0,0.3
2023-07-17T02:40:00-05:00,0.3,0.0,0.2
2023-07-17T02:45:00-05:00,0.2,0.0,0.7
2023-07-17T02:50:00-05:00,0.7,0.0,2.8
2023-07-17T02:55:00-05:00,2.8,0.0,2.4
2023-07-17T03:00:00-05:00,2.4,0.0,0.3
2023-07-17T03:05:00-05:00,0.3,0.0,0.3
2023-07-17T03:10:00-05:00,0.3,0.0,0.2
2023-07-17T03:15:00-05:00,0.2,0.0,0.2
2023-07-17T03:20:00-05:00,0.2,0.0,1.7
2023-07-17T03:25:00-05:00,1.7,0.0,2.8
2023-07-17T03:30:00-05:00,2.8,0.0,0.3
2023-07-17T03:35:00-05:00,0.3,0.0,0.3
2023-07-17T03:40:00-05:00,0.3,0.0,0.2
