Date time,Home (kW),Solar (kW),Grid (kW)
2023-07-13T00:00:00-05:00,3.2,0.0,3.2
2023-07-13T00:05:00-05:00,3.2,0.0,3.2
2023-07-13T00:10:00-05:00,3.2,0.0,3.2
2023-07-13T00:15:00-05:00,3.2,0.0,3.2
2023-07-13T00:20:00-05:00,3.2,0.0,3.2
2023-07-13T00:25:00-05:00,3.2,0.0,3.2
2023-07-13T00:30:00-05:00,3.2,0.0,0.3
2023-07-13T00:35:00-05:00,0.3,0.0,2.6
2023-07-13T00:40:00-05:00,2.6,0.0,3.2
2023-07-13T00:45:00-05:00,3.2,0.0,3.2
2023-07-13T00:50:00-05:00,3.2,0.0,3.2
2023-07-13T00:55:00-05:00,3.2,0.0,2.1
2023-07-13T01:00:00-05:00,2.1,0.0,0.8
2023-07-13T01:05:00-05:00,0.8,0.0,3.1
2023-07-13T01:10:00-05:00,3.1,0.0,3.1
2023-07-13T01:15:00-05:00,3.1,0.0,2.6
2023-07-13T01:20:00-05:00,2.6,0.0,0.3
2023-07-13T01:25:00-05:00,0.3,0.0,1.9
2023-07-13T01:30:00-05:00,1.9,0.0,3.1
2023-07-13T01:35:00-05:00,3.1,0.0,3.2
2023-07-13T01:40:00-05:00,3.2,0.0,1.5
2023-07-13T01:45:00-05:00,1.5,0.0,0.2
2023-07-13T01:50:00-05:00,0.2,0.0,3.1
2023-07-13T01:55:00-05:00,3.1,0.0,3.1
2023-07-13T02:00:00-05:00,3.1,0.0,2.0
2023-07-13T02:05:00-05:00,2.0,0.0,0.2
2023-07-13T02:10:00-05:00,0.2,0.0,0.2
2023-07-13T02:15:00-05:00,0.2,0.0,3.1
2023-07-13T02:20:00-05:00,3.1,0.0,3.1
2023-07-13T02:25:00-05:00,3.1,0.0,2.1
2023-07-13T02:30:00-05:00,2.1,0.0,0.2
2023-07-13T02:35:00-05:00,0.2,0.0,0.8
2023-07-13T02:40:00-05:00,0.8,0.0,3.1
2023-07-13T02:45:00-05:00,3.1,0.0,3.1
2023-07-13T02:50:00-05:00,3.1,0.0,0.3
2023-07-13T02:55:00-05:00,0.3,0.0,0.2
2023-07-13T03:00:00-05:00,0.2,0.0,2.5
2023-07-13T03:05:00-05:00,2.5,0.0,3.1
2023-07-13T03:10:00-05:00,3.1,0.0,0.3
2023-07-13T03:15:00-05:00,0.3,0.0,0.2
2023-07-13T03:20:00-05:00,0.2,0.0,4.0
2023-07-13T03:25:00-05:00,4.0,0.0,5.9
2023-07-13T03:30:00-05:00,5.9,0.0,0.3
2023-07-13T03:35:00-05:00,0.3,0.0,0.2
2023-07-13T03:40:00-05:00,0.2,0.0,1.9
2023-07-13T03:45:00-05:00,1.9,0.0,3.0
2023-07-13T03:50:00-05:00,3.0,0.0,2.0
2023-07-13T03:55:00-05:00,2.0,0.0,0.2
2023-07-13T04:00:00-05:00,0.2,0.0,0.2
2023-07-13T04:05:00-05:00,0.2,0.0,1.3
2023-07-13T04:10:00-05:00,1.3,0.0,3.0
2023-07-13T04:15:00-05:00,3.0,0.0,3.0
2023-07-13T04:20:00-05:00,3.0,0.0,0.9
2023-07-13T04:25:00-05:00,0.9,0.0,0.2
2023-07-13T04:30:00-05:00,0.2,0.0,0.2
2023-07-13T04:35:00-05:00,0.2,0.0,3.0
2023-07-13T04:40:00-05:00,3.0,0.0,3.0
2023-07-13T04:45:00-05:00,3.0,0.0,0.9
2023-07-13T04:50:00-05:00,0.9,0.0,0.2
2023-07-13T04:55:00-05:00,0.2,0.0,0.8
2023-07-13T05:00:00-05:00,0.8,0.0,3.0
2023-07-13T05:05:00-05:00,3.0,0.0,2.5
2023-07-13T05:10:00-05:00,2.5,0.0,0.3
2023-07-13T05:15:00-05:00,0.3,0.0,0.2
2023-07-13T05:20:00-05:00,0.2,0.0,1.9
2023-07-13T05:25:00-05:00,1.9,0.0,3.0
2023-07-13T05:30:00-05:00,3.0,0.0,1.4
2023-07-13T05:35:00-05:00,1.4,0.0,0.2
2023-07-13T05:40:00-05:00,0.2,0.0,0.7
2023-07-13T05:45:00-05:00,0.7,0.0,2.9
2023-07-13T05:50:00-05:00,2.9,0.0,1.4
2023-07-13T05:55:00-05:00,1.4,0.0,0.2
2023-07-13T06:00:00-05:00,0.2,0.0,0.2
2023-07-13T06:05:00-05:00,0.2,0.0,0.2
2023-07-13T06:10:00-05:00,0.2,0.0,0.2
2023-07-13T06:15:00-05:00,0.2,0.0,0.2
2023-07-13T06:20:00-05:00,0.2,0.0,0.2
2023-07-13T06:25:00-05:00,0.2,0.0,0.2
2023-07-13T06:30:00-05:00,0.2,0.0,0.2
2023-07-13T06:35:00-05:00,0.2,0.0,0.2
2023-07-13T06:40:00-05:00,0.2,0.0,0.2
2023-07-13T06:45:00-05:00,0.2,0.0,0.2
2023-07-13T06:50:00-05:00,0.2,0.0,0.2
2023-07-13T06:55:00-05:00,0.2,0.0,0.3
2023-07-13T07:00:00-05:00,0.3,0.0,0.4
2023-07-13T07:05:00-05:00,0.5,0.1,0.2
2023-07-13T07:10:00-05:00,0.3,0.1,0.1
2023-07-13T07:15:00-05:00,0.3,0.2,0.0
2023-07-13T07:20:00-05:00,0.2,0.2,0.0
2023-07-13T07:25:00-05:00,0.2,0.2,0.0
2023-07-13T07:30:00-05:00,0.2,0.2,0.0
2023-07-13T07:35:00-05:00,0.2,0.2,0.0
2023-07-13T07:40:00-05:00,0.2,0.2,0.0
2023-07-13T07:45:00-05:00,0.2,0.2,0.0
2023-07-13T07:50:00-05:00,0.3,0.3,0.0
2023-07-13T07:55:00-05:00,0.3,0.3,0.0
2023-07-13T08:00:00-05:00,0.3,0.3,0.0
2023-07-13T08:05:00-05:00,0.3,0.3,0.0
2023-07-13T08:10:00-05:00,0.3,0.3,0.0
2023-07-13T08:15:00-05:00,0.2,0.2,0.9
2023-07-13T08:20:00-05:00,1.1,0.2,1.0
2023-07-13T08:25:00-05:00,1.2,0.2,0.6
2023-07-13T08:30:00-05:00,0.8,0.2,0.3
2023-07-13T08:35:00-05:00,0.6,0.3,0.1
2023-07-13T08:40:00-05:00,0.4,0.3,0.0
2023-07-13T08:45:00-05:00,0.4,0.4,0.0
2023-07-13T08:50:00-05:00,0.4,0.4,0.1
2023-07-13T08:55:00-05:00,0.6,0.4,1.1
2023-07-13T09:00:00-05:00,1.5,0.5,3.9
2023-07-13T09:05:00-05:00,4.3,0.5,0.0
2023-07-13T09:10:00-05:00,0.5,0.6,0.0
2023-07-13T09:15:00-05:00,0.5,0.8,0.0
2023-07-13T09:20:00-05:00,0.5,0.8,0.0
2023-07-13T09:25:00-05:00,0.4,0.8,0.0
2023-07-13T09:30:00-05:00,0.3,0.8,0.0
2023-07-13T09:35:00-05:00,0.2,1.0,0.0
2023-07-13T09:40:00-05:00,0.3,0.8,0.0
2023-07-13T09:45:00-05:00,0.2,0.8,0.0
2023-07-13T09:50:00-05:00,0.2,0.9,0.0
2023-07-13T09:55:00-05:00,0.3,1.0,0.0
2023-07-13T10:00:00-05:00,0.3,1.1,0.0
2023-07-13T10:05:00-05:00,0.3,1.3,0.0
2023-07-13T10:10:00-05:00,0.3,1.7,0.0
2023-07-13T10:15:00-05:00,0.4,1.8,0.0
2023-07-13T10:20:00-05:00,0.3,1.8,0.0
2023-07-13T10:25:00-05:00,0.2,1.9,0.0
2023-07-13T10:30:00-05:00,0.3,2.8,0.0
2023-07-13T10:35:00-05:00,0.3,2.0,0.0
2023-07-13T10:40:00-05:00,0.3,1.5,0.0
2023-07-13T10:45:00-05:00,0.2,1.5,0.0
2023-07-13T10:50:00-05:00,0.3,1.6,0.0
2023-07-13T10:55:00-05:00,0.3,1.6,0.0
2023-07-13T11:00:00-05:00,0.3,1.7,0.0
