Date time,Home (kW),Solar (kW),Grid (kW)
2023-07-04T00:00:00-05:00,0.2,0.0,2.7
2023-07-04T00:05:00-05:00,2.7,0.0,2.8
2023-07-04T00:10:00-05:00,2.8,0.0,2.8
2023-07-04T00:15:00-05:00,2.8,0.0,0.3
2023-07-04T00:20:00-05:00,0.3,0.0,0.2
2023-07-04T00:25:00-05:00,0.2,0.0,2.8
2023-07-04T00:30:00-05:00,2.8,0.0,2.8
2023-07-04T00:35:00-05:00,2.8,0.0,1.9
2023-07-04T00:40:00-05:00,1.9,0.0,0.2
2023-07-04T00:45:00-05:00,0.2,0.0,0.7
2023-07-04T00:50:00-05:00,0.7,0.0,2.8
2023-07-04T00:55:00-05:00,2.8,0.0,1.9
2023-07-04T01:00:00-05:00,1.9,0.0,3.1
2023-07-04T01:05:00-05:00,3.1,0.0,1.7
2023-07-04T01:10:00-05:00,1.7,0.0,2.8
2023-07-04T01:15:00-05:00,2.8,0.0,1.8
2023-07-04T01:20:00-05:00,1.8,0.0,0.2
2023-07-04T01:25:00-05:00,0.2,0.0,0.2
2023-07-04T01:30:00-05:00,0.2,0.0,0.2
2023-07-04T01:35:00-05:00,0.2,0.0,1.2
2023-07-04T01:40:00-05:00,1.2,0.0,2.8
2023-07-04T01:45:00-05:00,2.8,0.0,1.3
2023-07-04T01:50:00-05:00,1.3,0.0,0.2
2023-07-04T01:55:00-05:00,0.2,0.0,0.2
2023-07-04T02:00:00-05:00,0.2,0.0,0.2
2023-07-04T02:05:00-05:00,0.2,0.0,1.7
2023-07-04T02:10:00-05:00,1.7,0.0,2.8
2023-07-04T02:15:00-05:00,2.8,0.0,0.8
2023-07-04T02:20:00-05:00,0.8,0.0,0.2
2023-07-04T02:25:00-05:00,0.2,0.0,0.2
2023-07-04T02:30:00-05:00,0.2,0.0,0.2
2023-07-04T02:35:00-05:00,0.2,0.0,1.2
2023-07-04T02:40:00-05:00,1.2,0.0,2.8
2023-07-04T02:45:00-05:00,2.8,0.0,0.3
2023-07-04T02:50:00-05:00,0.3,0.0,0.2
2023-07-04T02:55:00-05:00,0.2,0.0,0.2
2023-07-04T03:00:00-05:00,0.2,0.0,0.2
2023-07-04T03:05:00-05:00,0.2,0.0,0.3
2023-07-04T03:10:00-05:00,0.3,0.0,0.8
2023-07-04T03:15:00-05:00,0.8,0.0,2.8
2023-07-04T03:20:00-05:00,2.8,0.0,0.8
2023-07-04T03:25:00-05:00,0.8,0.0,0.2
2023-07-04T03:30:00-05:00,0.2,0.0,0.2
2023-07-04T03:35:00-05:00,0.2,0.0,0.2
2023-07-04T03:40:00-05:00,0.2,0.0,2.3
2023-07-04T03:45:00-05:00,2.3,0.0,1.9
2023-07-04T03:50:00-05:00,1.9,0.0,0.2
2023-07-04T03:55:00-05:00,0.2,0.0,0.2
2023-07-04T04:00:00-05:00,0.2,0.0,0.2
2023-07-04T04:05:00-05:00,0.2,0.0,0.2
2023-07-04T04:10:00-05:00,0.2,0.0,1.2
2023-07-04T04:15:00-05:00,1.2,0.0,2.7
2023-07-04T04:20:00-05:00,2.7,0.0,0.3
2023-07-04T04:25:00-05:00,0.3,0.0,0.2
2023-07-04T04:30:00-05:00,0.2,0.0,0.2
2023-07-04T04:35:00-05:00,0.2,0.0,0.3
2023-07-04T04:40:00-05:00,0.3,0.0,0.3
2023-07-04T04:45:00-05:00,0.3,0.0,2.2
2023-07-04T04:50:00-05:00,2.2,0.0,1.8
2023-07-04T04:55:00-05:00,1.8,0.0,0.2
2023-07-04T05:00:00-05:00,0.2,0.0,0.2
2023-07-04T05:05:00-05:00,0.2,0.0,0.2
2023-07-04T05:10:00-05:00,0.2,0.0,0.3
2023-07-04T05:15:00-05:00,0.3,0.0,1.2
2023-07-04T05:20:00-05:00,1.2,0.0,2.8
2023-07-04T05:25:00-05:00,2.8,0.0,0.3
2023-07-04T05:30:00-05:00,0.3,0.0,0.2
2023-07-04T05:35:00-05:00,0.2,0.0,0.2
2023-07-04T05:40:00-05:00,0.2,0.0,0.2
2023-07-04T05:45:00-05:00,0.2,0.0,0.2
2023-07-04T05:50:00-05:00,0.2,0.0,2.7
2023-07-04T05:55:00-05:00,2.7,0.0,1.3
2023-07-04T06:00:00-05:00,1.3,0.0,0.2
2023-07-04T06:05:00-05:00,0.2,0.0,0.2
2023-07-04T06:10:00-05:00,0.2,0.0,0.2
2023-07-04T06:15:00-05:00,0.2,0.0,0.2
2023-07-04T06:20:00-05:00,0.2,0.0,0.2
2023-07-04T06:25:00-05:00,0.2,0.0,0.2
2023-07-04T06:30:00-05:00,0.2,0.0,0.2
2023-07-04T06:35:00-05:00,0.2,0.0,0.3
2023-07-04T06:40:00-05:00,0.3,0.0,0.3
2023-07-04T06:45:00-05:00,0.3,0.0,0.3
2023-07-04T06:50:00-05:00,0.4,0.1,0.3
2023-07-04T06:55:00-05:00,0.4,0.1,0.2
2023-07-04T07:00:00-05:00,0.3,0.1,0.1
2023-07-04T07:05:00-05:00,0.3,0.1,0.2
2023-07-04T07:10:00-05:00,0.3,0.1,0.2
2023-07-04T07:15:00-05:00,0.3,0.2,0.1
2023-07-04T07:20:00-05:00,0.3,0.2,0.1
2023-07-04T07:25:00-05:00,0.3,0.2,0.1
2023-07-04T07:30:00-05:00,0.3,0.2,0.1
2023-07-04T07:35:00-05:00,0.3,0.2,0.0
2023-07-04T07:40:00-05:00,0.2,0.2,0.0
2023-07-04T07:45:00-05:00,0.2,0.2,0.0
2023-07-04T07:50:00-05:00,0.2,0.2,0.0
2023-07-04T07:55:00-05:00,0.3,0.3,0.0
2023-07-04T08:00:00-05:00,0.3,0.3,0.0
2023-07-04T08:05:00-05:00,0.3,0.3,0.0
2023-07-04T08:10:00-05:00,0.3,0.3,0.0
2023-07-04T08:15:00-05:00,0.3,0.3,0.0
2023-07-04T08:20:00-05:00,0.3,0.3,0.0
2023-07-04T08:25:00-05:00,0.3,0.3,0.0
2023-07-04T08:30:00-05:00,0.3,0.3,0.0
2023-07-04T08:35:00-05:00,0.3,0.3,0.0
2023-07-04T08:40:00-05:00,0.3,0.3,0.0
